ProductID,ProductName,Category,Material,Purity,Weight_g,CostPrice,SellingPrice,Margin,MarginPct,StockQty,StockQty_Flag,Supplier,LaunchDate
P1001,Gold Ring #1,Rings,Gold,24K,13.46,55220.0,79770.0,24550.0,30.78,84,OK,Silver Line Exports,2024-01-02 00:00:00
P1002,Rose Gold Anklet #2,Anklets,Rose Gold,18K,21.04,89440.0,133960.0,44520.0,33.23,95,OK,Diamond Hub Inc,2019-11-23 00:00:00
P1003,Platinum Bangle #3,Bangles,Platinum,950 Platinum,33.24,164470.0,253160.0,88690.0,35.03,46,OK,Rajesh Jewels Pvt Ltd,2022-04-02 00:00:00
P1004,Silver Necklace #4,Necklaces,Silver,999 Silver,13.59,70890.0,91870.0,20980.0,22.84,45,OK,Sundari Gems,2020-03-05 00:00:00
P1005,Rose Gold Bracelet #5,Bracelets,Rose Gold,22K,38.16,213510.0,265100.0,51590.0,19.46,2,OK,Diamond Hub Inc,2020-10-08 00:00:00
P1006,Diamond Earring #6,Earrings,Diamond,Platinum + Diamond,7.57,41720.0,56970.0,15250.0,26.77,93,OK,Kundan Creations,2021-05-27 00:00:00
P1007,Silver Anklet #7,Anklets,Silver,925 Silver,18.24,93190.0,124620.0,31430.0,25.22,30,OK,Kundan Creations,2023-10-29 00:00:00
P1008,Platinum Earring #8,Earrings,Platinum,950 Platinum,39.37,169520.0,238270.0,68750.0,28.85,75,OK,GoldCraft Traders,2019-10-11 00:00:00
P1009,Silver Ring #9,Rings,Silver,925 Silver,39.69,240390.0,284680.0,44290.0,15.56,60,OK,Diamond Hub Inc,2019-05-22 00:00:00
P1010,Rose Gold Bracelet #10,Bracelets,Rose Gold,22K,18.86,100210.0,130210.0,30000.0,23.04,113,OK,Kundan Creations,2021-07-13 00:00:00
P1011,Gold Bracelet #11,Bracelets,Gold,18K,40.89,238020.0,280470.0,42450.0,15.14,28,OK,Sundari Gems,2022-10-02 00:00:00
P1012,Gold Necklace #12,Necklaces,Gold,24K,20.25,94030.0,125700.0,31670.0,25.19,91,OK,Rajesh Jewels Pvt Ltd,2022-10-11 00:00:00
P1013,Diamond Earring #13,Earrings,,Platinum + Diamond,21.62,126720.0,149550.0,22830.0,15.27,101,OK,Diamond Hub Inc,2023-10-20 00:00:00
P1014,Diamond Nose Pin #14,Nose Pins,Diamond,Platinum + Diamond,10.8,49490.0,58070.0,8580.0,14.78,46,OK,Rajesh Jewels Pvt Ltd,2021-10-03 00:00:00
P1015,Platinum Bracelet #15,Bracelets,Platinum,950 Platinum,26.69,132490.0,192000.0,59510.0,30.99,5,OK,Rajesh Jewels Pvt Ltd,2022-04-11 00:00:00
P1016,Diamond Necklace #16,Necklaces,Diamond,18K Gold + Diamond,26.68,96240.0,113830.0,17590.0,15.45,82,OK,Kundan Creations,2022-03-03 00:00:00
P1017,Platinum Necklace #17,Necklaces,Platinum,950 Platinum,21.44,132840.0,205690.0,72850.0,35.42,7,OK,Kundan Creations,2020-03-12 00:00:00
P1018,Platinum Ring #18,Rings,Platinum,950 Platinum,42.03,158860.0,238490.0,79630.0,33.39,31,OK,Rajesh Jewels Pvt Ltd,2023-12-28 00:00:00
P1019,Diamond Bangle #19,Bangles,Diamond,18K Gold + Diamond,26.57,25590.0,32260.0,6670.0,20.68,0,ERROR: Negative Stock Corrected,Sundari Gems,2023-04-29 00:00:00
P1020,Silver Ring #20,Rings,Silver,999 Silver,26.84,104670.0,125710.0,21040.0,16.74,37,OK,Sundari Gems,2024-01-16 00:00:00
P1021,Silver Bracelet #21,Bracelets,Silver,925 Silver,43.96,250090.0,375780.0,125690.0,33.45,1,OK,GoldCraft Traders,2023-02-17 00:00:00
P1022,Diamond Pendant #22,Pendants,Diamond,Platinum + Diamond,37.19,217660.0,269720.0,52060.0,19.3,82,OK,GoldCraft Traders,2021-03-27 00:00:00
P1023,Gold Necklace #23,Necklaces,Gold,22K,9.27,56540.0,71020.0,14480.0,20.39,11,OK,Kundan Creations,2021-08-06 00:00:00
