OrderMonth,revenue,orders,active_customers
2023-01,6202075.5,29,27
2023-02,3885979.0,23,21
2023-03,4903065.0,24,20
2023-04,4104846.0,23,22
2023-05,4816490.0,24,22
2023-06,3825194.5,19,17
2023-07,4794524.5,25,24
2023-08,6262531.5,29,26
2023-09,4612252.0,23,22
2023-10,5052189.5,24,24
2023-11,3455374.5,23,20
2023-12,4875028.5,25,20
2024-01,2955111.5,19,17
2024-02,3691037.0,25,24
2024-03,4818343.5,22,20
2024-04,5082271.5,21,20
2024-05,3778898.5,18,17
2024-06,6075610.5,25,24
2024-07,4239483.0,20,18
2024-08,4530231.0,20,18
2024-09,4684593.0,23,22
2024-10,4547220.0,27,23
2024-11,4280640.5,24,22
2024-12,5281672.5,30,28
2025-01,4694984.5,25,22
2025-02,4931928.5,22,22
2025-03,3721035.0,23,22
2025-04,3917706.5,16,16
2025-05,4311336.5,19,18
2025-06,2500347.5,12,12
2025-07,4736711.5,29,26
2025-08,225258.0,2,2
